y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
1,1,AL,AL Non-migrants,1598458,3579600,0
1,2,AK,Alaska,107,223,4869
1,4,AZ,Arizona,285,575,16478
1,5,AR,Arkansas,338,703,15223
1,6,CA,California,1169,2274,55689
1,8,CO,Colorado,473,932,24958
1,9,CT,Connecticut,130,248,7706
1,10,DE,Delaware,38,61,1461
1,11,DC,District Of Columbia,54,92,5309
1,12,FL,Florida,4489,8446,185502
1,13,GA,Georgia,5972,12269,249108
1,15,HI,Hawaii,197,440,8578
1,16,ID,Idaho,69,142,2370
1,17,IL,Illinois,717,1443,34167
1,18,IN,Indiana,457,895,21821
1,19,IA,Iowa,118,205,4816
1,20,KS,Kansas,242,549,12081
1,21,KY,Kentucky,574,1213,27082
1,22,LA,Louisiana,883,1671,40723
1,23,ME,Maine,52,86,2041
1,24,MD,Maryland,340,647,18685
1,25,MA,Massachusetts,171,315,8548
1,26,MI,Michigan,594,1125,22176
1,27,MN,Minnesota,133,252,7129
1,28,MS,Mississippi,2212,4562,90723
1,29,MO,Missouri,459,901,20884
1,30,MT,Montana,56,116,2494
1,31,NE,Nebraska,75,149,3165
1,32,NV,Nevada,166,299,7457
1,33,NH,New Hampshire,42,68,1548
1,34,NJ,New Jersey,261,489,12404
1,35,NM,New Mexico,143,310,7926
1,36,NY,New York,772,1518,34582
1,37,NC,North Carolina,1056,2158,49972
1,38,ND,North Dakota,54,113,2763
1,39,OH,Ohio,713,1430,29911
1,40,OK,Oklahoma,300,615,15592
1,41,OR,Oregon,97,179,5421
1,42,PA,Pennsylvania,440,850,23033
1,44,RI,Rhode Island,31,70,1432
1,45,SC,South Carolina,637,1220,31594
1,46,SD,South Dakota,48,129,2095
1,47,TN,Tennessee,2608,5304,124203
1,48,TX,Texas,3435,7041,135165
1,49,UT,Utah,99,201,4551
1,50,VT,Vermont,22,33,716
1,51,VA,Virginia,819,1624,48796
1,53,WA,Washington,351,742,17875
1,54,WV,West Virginia,119,235,5459
1,55,WI,Wisconsin,198,385,9052
1,56,WY,Wyoming,53,100,1885
2,1,AL,Alabama,128,278,6138
2,2,AK,AK Non-migrants,265963,558608,0
2,4,AZ,Arizona,486,871,28598
2,5,AR,Arkansas,79,163,3807
2,6,CA,California,1271,2249,56604
2,8,CO,Colorado,411,689,22373
2,9,CT,Connecticut,51,76,2043
2,10,DE,Delaware,33,57,1195
2,11,DC,District Of Columbia,22,25,980
2,12,FL,Florida,607,1044,24232
2,13,GA,Georgia,361,802,13769
2,15,HI,Hawaii,317,668,12918
2,16,ID,Idaho,247,465,11707
2,17,IL,Illinois,203,329,8290
2,18,IN,Indiana,129,209,5252
2,19,IA,Iowa,76,153,3234
2,20,KS,Kansas,97,197,4115
2,21,KY,Kentucky,105,246,4200
2,22,LA,Louisiana,143,309,6967
2,23,ME,Maine,49,71,2429
2,24,MD,Maryland,114,196,5833
2,25,MA,Massachusetts,106,155,4907
2,26,MI,Michigan,241,397,10095
2,27,MN,Minnesota,188,297,7874
2,28,MS,Mississippi,76,149,3216
2,29,MO,Missouri,189,372,8297
2,30,MT,Montana,212,348,13003
2,31,NE,Nebraska,69,133,3047
2,32,NV,Nevada,263,489,12816
2,33,NH,New Hampshire,43,66,1899
2,34,NJ,New Jersey,86,131,3791
2,35,NM,New Mexico,128,254,7385
2,36,NY,New York,328,555,12288
2,37,NC,North Carolina,349,767,14123
2,38,ND,North Dakota,57,94,3227
2,39,OH,Ohio,203,352,8209
2,40,OK,Oklahoma,193,378,8607
2,41,OR,Oregon,567,945,24363
2,42,PA,Pennsylvania,212,367,10467
2,44,RI,Rhode Island,14,21,479
2,45,SC,South Carolina,139,252,5428
2,46,SD,South Dakota,52,93,2291
2,47,TN,Tennessee,178,370,7373
2,48,TX,Texas,941,1911,67188
2,49,UT,Utah,180,401,9906
2,50,VT,Vermont,32,40,1300
2,51,VA,Virginia,288,557,15073
2,53,WA,Washington,1174,2020,55978
2,54,WV,West Virginia,28,36,1116
2,55,WI,Wisconsin,159,259,6008
2,56,WY,Wyoming,86,146,6700
4,1,AL,Alabama,341,643,16174
4,2,AK,Alaska,612,1140,35898
4,4,AZ,AZ Non-migrants,2229625,4942639,0
4,5,AR,Arkansas,403,749,16036
4,6,CA,California,15330,29184,1013447
4,8,CO,Colorado,3292,5903,213866
4,9,CT,Connecticut,458,794,37599
4,10,DE,Delaware,109,190,3452
4,11,DC,District Of Columbia,117,156,10372
4,12,FL,Florida,2458,4255,145598
4,13,GA,Georgia,1026,1975,56919
4,15,HI,Hawaii,672,1309,36999
4,16,ID,Idaho,787,1609,41052
4,17,IL,Illinois,3590,6253,315036
4,18,IN,Indiana,1128,2053,56663
4,19,IA,Iowa,777,1379,50915
4,20,KS,Kansas,668,1276,49276
4,21,KY,Kentucky,406,796,35431
4,22,LA,Louisiana,372,704,17848
4,23,ME,Maine,214,364,12827
4,24,MD,Maryland,597,1041,41095
4,25,MA,Massachusetts,698,1095,60218
4,26,MI,Michigan,1945,3395,92368
4,27,MN,Minnesota,1738,3055,152717
4,28,MS,Mississippi,276,536,9947
4,29,MO,Missouri,1143,2055,58683
4,30,MT,Montana,566,980,29657
4,31,NE,Nebraska,588,1064,48635
4,32,NV,Nevada,2405,4544,121927
4,33,NH,New Hampshire,221,354,13786
4,34,NJ,New Jersey,863,1500,81949
4,35,NM,New Mexico,3096,6669,122753
4,36,NY,New York,2168,3601,132820
4,37,NC,North Carolina,1085,2098,60867
4,38,ND,North Dakota,466,851,30818
4,39,OH,Ohio,1618,2787,100190
4,40,OK,Oklahoma,704,1291,29822
4,41,OR,Oregon,1792,3082,112639
4,42,PA,Pennsylvania,1303,2219,88518
4,44,RI,Rhode Island,111,207,8660
4,45,SC,South Carolina,447,799,21284
4,46,SD,South Dakota,512,918,21883
4,47,TN,Tennessee,796,1468,36737
4,48,TX,Texas,5578,11103,263324
4,49,UT,Utah,1841,4052,136768
4,50,VT,Vermont,124,200,6977
4,51,VA,Virginia,1060,1964,104397
4,53,WA,Washington,3338,5949,208028
4,54,WV,West Virginia,130,194,5801
4,55,WI,Wisconsin,1427,2434,87780
4,56,WY,Wyoming,465,812,24813
5,1,AL,Alabama,298,625,13851
5,2,AK,Alaska,95,184,3952
5,4,AZ,Arizona,326,661,13834
5,5,AR,AR Non-migrants,954334,2145497,0
5,6,CA,California,1270,2480,50134
5,8,CO,Colorado,368,731,16608
5,9,CT,Connecticut,54,104,5793
5,10,DE,Delaware,27,63,1146
5,11,DC,District Of Columbia,27,33,2150
5,12,FL,Florida,965,1745,53278
5,13,GA,Georgia,551,1152,24480
5,15,HI,Hawaii,97,209,3125
5,16,ID,Idaho,49,101,1888
5,17,IL,Illinois,756,1442,38929
5,18,IN,Indiana,271,578,11031
5,19,IA,Iowa,211,415,7347
5,20,KS,Kansas,473,878,20396
5,21,KY,Kentucky,210,429,8139
5,22,LA,Louisiana,1003,2036,45362
5,23,ME,Maine,27,58,1707
5,24,MD,Maryland,115,211,6234
5,25,MA,Massachusetts,114,186,6277
5,26,MI,Michigan,337,660,14807
5,27,MN,Minnesota,203,439,13594
5,28,MS,Mississippi,732,1518,27993
5,29,MO,Missouri,2080,4151,74437
5,30,MT,Montana,42,84,1395
5,31,NE,Nebraska,126,269,6040
5,32,NV,Nevada,169,353,6111
5,33,NH,New Hampshire,25,46,1467
5,34,NJ,New Jersey,147,291,11201
5,35,NM,New Mexico,124,244,6265
5,36,NY,New York,299,564,15070
5,37,NC,North Carolina,365,748,15841
5,38,ND,North Dakota,72,127,3984
5,39,OH,Ohio,295,562,19631
5,40,OK,Oklahoma,2101,4414,76994
5,41,OR,Oregon,141,255,4845
5,42,PA,Pennsylvania,205,395,11838
5,44,RI,Rhode Island,-1,-1,0
5,45,SC,South Carolina,188,386,10265
5,46,SD,South Dakota,60,116,6700
5,47,TN,Tennessee,1358,2690,60703
5,48,TX,Texas,4517,9001,192553
5,49,UT,Utah,104,258,6815
5,50,VT,Vermont,-1,-1,0
5,51,VA,Virginia,313,625,17127
5,53,WA,Washington,226,438,9043
5,54,WV,West Virginia,53,118,2542
5,55,WI,Wisconsin,238,476,10267
5,56,WY,Wyoming,70,143,3197
6,1,AL,Alabama,1232,2198,59586
6,2,AK,Alaska,1175,2104,50188
6,4,AZ,Arizona,12564,22988,651807
6,5,AR,Arkansas,1115,2039,44453
6,6,CA,CA Non-migrants,13658090,30666470,0
6,8,CO,Colorado,6317,10684,446800
6,9,CT,Connecticut,2178,3296,276642
6,10,DE,Delaware,412,680,27435
6,11,DC,District Of Columbia,1469,1880,150872
6,12,FL,Florida,10607,17150,694337
6,13,GA,Georgia,4964,8877,296325
6,15,HI,Hawaii,4088,7065,197380
6,16,ID,Idaho,1839,3381,70180
6,17,IL,Illinois,8714,14073,730352
6,18,IN,Indiana,2277,3837,110693
6,19,IA,Iowa,1105,1827,49990
6,20,KS,Kansas,1563,2796,79642
6,21,KY,Kentucky,1158,1969,59642
6,22,LA,Louisiana,1701,2899,133012
6,23,ME,Maine,553,794,33019
6,24,MD,Maryland,3391,5401,223603
6,25,MA,Massachusetts,5592,8004,504321
6,26,MI,Michigan,3829,6023,223688
6,27,MN,Minnesota,2878,4579,196146
6,28,MS,Mississippi,837,1553,37603
6,29,MO,Missouri,2735,4459,141287
6,30,MT,Montana,876,1459,57800
6,31,NE,Nebraska,917,1627,50260
6,32,NV,Nevada,10534,19061,499590
6,33,NH,New Hampshire,736,1051,44160
6,34,NJ,New Jersey,4934,8042,470097
6,35,NM,New Mexico,2105,3637,98846
6,36,NY,New York,14595,20913,1498625
6,37,NC,North Carolina,4548,8273,280100
6,38,ND,North Dakota,522,857,24538
6,39,OH,Ohio,3790,6035,221051
6,40,OK,Oklahoma,1820,3248,74418
6,41,OR,Oregon,6605,10976,338634
6,42,PA,Pennsylvania,4789,7113,340369
6,44,RI,Rhode Island,630,950,38278
6,45,SC,South Carolina,1535,2675,70252
6,46,SD,South Dakota,442,738,17646
6,47,TN,Tennessee,2570,4524,139139
6,48,TX,Texas,20523,38725,1246622
6,49,UT,Utah,3390,6744,159131
6,50,VT,Vermont,385,508,18791
6,51,VA,Virginia,5918,10225,390970
6,53,WA,Washington,11126,19789,778613
6,54,WV,West Virginia,299,439,16768
6,55,WI,Wisconsin,2243,3572,152429
6,56,WY,Wyoming,544,940,31005
8,1,AL,Alabama,628,1130,28097
8,2,AK,Alaska,549,986,32613
8,4,AZ,Arizona,3464,6291,180849
8,5,AR,Arkansas,579,1069,29473
8,6,CA,California,8337,14858,646116
8,8,CO,CO Non-migrants,1932425,4134014,0
8,9,CT,Connecticut,546,763,43142
8,10,DE,Delaware,127,207,6544
8,11,DC,District Of Columbia,282,377,29990
8,12,FL,Florida,4458,7190,213301
8,13,GA,Georgia,1781,3275,88099
8,15,HI,Hawaii,719,1349,46648
8,16,ID,Idaho,620,1141,29788
8,17,IL,Illinois,3104,4693,228281
8,18,IN,Indiana,995,1620,50238
8,19,IA,Iowa,1092,1695,53999
8,20,KS,Kansas,1846,3306,89355
8,21,KY,Kentucky,604,1156,23898
8,22,LA,Louisiana,754,1321,36221
8,23,ME,Maine,234,332,9440
8,24,MD,Maryland,930,1529,38021
8,25,MA,Massachusetts,998,1350,74765
8,26,MI,Michigan,1543,2195,69074
8,27,MN,Minnesota,1482,2222,80966
8,28,MS,Mississippi,346,629,15647
8,29,MO,Missouri,1646,2782,73516
8,30,MT,Montana,686,1042,32014
8,31,NE,Nebraska,1481,2488,73318
8,32,NV,Nevada,1311,2388,66711
8,33,NH,New Hampshire,327,461,17181
8,34,NJ,New Jersey,976,1541,81271
8,35,NM,New Mexico,2289,4313,110271
8,36,NY,New York,2619,3877,225312
8,37,NC,North Carolina,1626,2808,83567
8,38,ND,North Dakota,611,1115,40518
8,39,OH,Ohio,1588,2491,83649
8,40,OK,Oklahoma,1453,2746,84985
8,41,OR,Oregon,1025,1682,64105
8,42,PA,Pennsylvania,1703,2598,94264
8,44,RI,Rhode Island,126,172,5287
8,45,SC,South Carolina,659,1086,21894
8,46,SD,South Dakota,624,972,24656
8,47,TN,Tennessee,1147,1914,53138
8,48,TX,Texas,7677,14537,485158
8,49,UT,Utah,1436,2987,71808
8,50,VT,Vermont,260,331,10985
8,51,VA,Virginia,1821,3079,121617
8,53,WA,Washington,1895,3405,103857
8,54,WV,West Virginia,215,333,9674
8,55,WI,Wisconsin,1264,1882,76415
8,56,WY,Wyoming,1641,2881,91838
9,1,AL,Alabama,105,206,5588
9,2,AK,Alaska,31,46,1285
9,4,AZ,Arizona,236,400,15645
9,5,AR,Arkansas,49,89,2008
9,6,CA,California,1248,2069,107745
9,8,CO,Colorado,258,439,16323
9,9,CT,CT Non-migrants,1383786,2839854,0
9,10,DE,Delaware,84,151,6970
9,11,DC,District Of Columbia,163,200,15743
9,12,FL,Florida,2447,4185,144141
9,13,GA,Georgia,560,1018,31354
9,15,HI,Hawaii,123,216,5378
9,16,ID,Idaho,33,66,3347
9,17,IL,Illinois,400,682,37189
9,18,IN,Indiana,130,240,13564
9,19,IA,Iowa,52,91,3293
9,20,KS,Kansas,70,131,5318
9,21,KY,Kentucky,100,138,4479
9,22,LA,Louisiana,94,150,4364
9,23,ME,Maine,313,492,13191
9,24,MD,Maryland,452,735,34474
9,25,MA,Massachusetts,3015,4583,196950
9,26,MI,Michigan,231,386,14219
9,27,MN,Minnesota,137,251,12237
9,28,MS,Mississippi,39,64,1742
9,29,MO,Missouri,128,239,9335
9,30,MT,Montana,-1,-1,0
9,31,NE,Nebraska,34,60,1438
9,32,NV,Nevada,92,154,5143
9,33,NH,New Hampshire,365,537,21349
9,34,NJ,New Jersey,1518,2611,146750
9,35,NM,New Mexico,58,105,2192
9,36,NY,New York,8339,15055,1016401
9,37,NC,North Carolina,700,1249,38491
9,38,ND,North Dakota,23,24,1007
9,39,OH,Ohio,324,554,22476
9,40,OK,Oklahoma,61,105,2892
9,41,OR,Oregon,94,161,5939
9,42,PA,Pennsylvania,921,1500,63047
9,44,RI,Rhode Island,904,1446,47833
9,45,SC,South Carolina,383,626,16920
9,46,SD,South Dakota,-1,-1,0
9,47,TN,Tennessee,166,277,10478
9,48,TX,Texas,1007,1917,76313
9,49,UT,Utah,97,192,9624
9,50,VT,Vermont,246,363,11870
9,51,VA,Virginia,692,1230,45403
9,53,WA,Washington,225,408,14070
9,54,WV,West Virginia,43,76,1984
9,55,WI,Wisconsin,124,225,9694
9,56,WY,Wyoming,20,27,175
10,1,AL,Alabama,42,82,3067
10,2,AK,Alaska,18,33,693
10,4,AZ,Arizona,75,148,4503
10,5,AR,Arkansas,25,50,999
10,6,CA,California,311,549,32683
10,8,CO,Colorado,67,135,4326
10,9,CT,Connecticut,130,243,8769
10,10,DE,DE Non-migrants,347432,721941,0
10,11,DC,District Of Columbia,69,87,9508
10,12,FL,Florida,583,987,24101
10,13,GA,Georgia,246,466,12702
10,15,HI,Hawaii,24,44,944
10,16,ID,Idaho,-1,-1,0
10,17,IL,Illinois,119,231,9239
10,18,IN,Indiana,60,106,3612
10,19,IA,Iowa,25,57,1885
10,20,KS,Kansas,36,64,1704
10,21,KY,Kentucky,51,127,2366
10,22,LA,Louisiana,39,61,1995
10,23,ME,Maine,28,51,1368
10,24,MD,Maryland,2452,4447,144801
10,25,MA,Massachusetts,123,214,6947
10,26,MI,Michigan,78,157,5022
10,27,MN,Minnesota,43,75,4343
10,28,MS,Mississippi,28,59,1334
10,29,MO,Missouri,39,75,2130
10,30,MT,Montana,-1,-1,0
10,31,NE,Nebraska,14,23,730
10,32,NV,Nevada,29,55,1203
10,33,NH,New Hampshire,35,65,2733
10,34,NJ,New Jersey,1288,2296,141678
10,35,NM,New Mexico,30,47,1095
10,36,NY,New York,875,1596,63796
10,37,NC,North Carolina,296,534,12668
10,38,ND,North Dakota,18,28,565
10,39,OH,Ohio,138,268,8241
10,40,OK,Oklahoma,29,56,1062
10,41,OR,Oregon,24,52,1058
10,42,PA,Pennsylvania,3051,5547,188303
10,44,RI,Rhode Island,29,48,1319
10,45,SC,South Carolina,117,203,7879
10,46,SD,South Dakota,-1,-1,0
10,47,TN,Tennessee,97,222,4093
10,48,TX,Texas,369,703,19681
10,49,UT,Utah,23,68,2224
10,50,VT,Vermont,21,30,1417
10,51,VA,Virginia,501,906,32869
10,53,WA,Washington,45,78,1883
10,54,WV,West Virginia,55,100,2400
10,55,WI,Wisconsin,29,50,1531
10,56,WY,Wyoming,-1,-1,0
11,1,AL,Alabama,83,111,4147
11,2,AK,Alaska,27,36,2388
11,4,AZ,Arizona,116,158,6190
11,5,AR,Arkansas,47,57,2488
11,6,CA,California,1184,1409,79258
11,8,CO,Colorado,180,227,18054
11,9,CT,Connecticut,261,306,18440
11,10,DE,Delaware,80,104,5434
11,11,DC,DC Non-migrants,255331,426998,0
11,12,FL,Florida,745,972,63924
11,13,GA,Georgia,427,596,30759
11,15,HI,Hawaii,49,67,2781
11,16,ID,Idaho,-1,-1,0
11,17,IL,Illinois,440,527,33774
11,18,IN,Indiana,100,121,4802
11,19,IA,Iowa,58,66,2607
11,20,KS,Kansas,48,60,2842
11,21,KY,Kentucky,77,92,3484
11,22,LA,Louisiana,115,141,5351
11,23,ME,Maine,59,78,5349
11,24,MD,Maryland,7186,11554,474939
11,25,MA,Massachusetts,576,673,40731
11,26,MI,Michigan,245,272,11893
11,27,MN,Minnesota,144,161,8787
11,28,MS,Mississippi,59,79,3404
11,29,MO,Missouri,127,150,7148
11,30,MT,Montana,27,33,1273
11,31,NE,Nebraska,35,39,1523
11,32,NV,Nevada,63,89,2389
11,33,NH,New Hampshire,63,69,3356
11,34,NJ,New Jersey,520,618,31753
11,35,NM,New Mexico,65,83,3478
11,36,NY,New York,1441,1746,129259
11,37,NC,North Carolina,549,724,32917
11,38,ND,North Dakota,-1,-1,0
11,39,OH,Ohio,277,322,15069
11,40,OK,Oklahoma,47,59,2509
11,41,OR,Oregon,89,98,4005
11,42,PA,Pennsylvania,704,815,38572
11,44,RI,Rhode Island,59,69,14343
11,45,SC,South Carolina,151,198,8427
11,46,SD,South Dakota,19,21,873
11,47,TN,Tennessee,147,195,7969
11,48,TX,Texas,695,984,36572
11,49,UT,Utah,59,82,7309
11,50,VT,Vermont,43,54,3400
11,51,VA,Virginia,4312,5536,322857
11,53,WA,Washington,184,215,10588
11,54,WV,West Virginia,73,93,4845
11,55,WI,Wisconsin,132,164,9654
11,56,WY,Wyoming,-1,-1,0
12,1,AL,Alabama,5329,10204,303897
12,2,AK,Alaska,703,1243,35908
12,4,AZ,Arizona,2493,4431,166316
12,5,AR,Arkansas,1202,2263,93334
12,6,CA,California,10239,18149,1162002
12,8,CO,Colorado,3720,6590,487532
12,9,CT,Connecticut,5800,10318,985402
12,10,DE,Delaware,1016,1791,55112
12,11,DC,District Of Columbia,671,949,90722
12,12,FL,FL Non-migrants,7246289,14640337,0
12,13,GA,Georgia,15742,30190,1003635
12,15,HI,Hawaii,1074,1922,52106
12,16,ID,Idaho,374,704,20431
12,17,IL,Illinois,8803,15338,1466396
12,18,IN,Indiana,5117,9082,392763
12,19,IA,Iowa,1141,2071,123967
12,20,KS,Kansas,1327,2494,114195
12,21,KY,Kentucky,3403,6182,246660
12,22,LA,Louisiana,2334,4323,246842
12,23,ME,Maine,1804,2993,159813
12,24,MD,Maryland,5875,10253,692993
12,25,MA,Massachusetts,7451,12715,750711
12,26,MI,Michigan,7449,12811,597318
12,27,MN,Minnesota,2653,4650,322304
12,28,MS,Mississippi,1825,3633,104765
12,29,MO,Missouri,3271,5820,280468
12,30,MT,Montana,369,639,17333
12,31,NE,Nebraska,804,1418,37316
12,32,NV,Nevada,1949,3317,203724
12,33,NH,New Hampshire,1909,3172,256845
12,34,NJ,New Jersey,12348,22202,1494652
12,35,NM,New Mexico,990,1768,51514
12,36,NY,New York,25996,44983,2620649
12,37,NC,North Carolina,9428,17351,567708
12,38,ND,North Dakota,423,764,24317
12,39,OH,Ohio,9056,15742,840774
12,40,OK,Oklahoma,1425,2715,124792
12,41,OR,Oregon,966,1619,58588
12,42,PA,Pennsylvania,10438,18180,1017451
12,44,RI,Rhode Island,1598,2820,220498
12,45,SC,South Carolina,4416,8079,239369
12,46,SD,South Dakota,485,849,44616
12,47,TN,Tennessee,5637,10352,337489
12,48,TX,Texas,23089,42521,992239
12,49,UT,Utah,772,1575,45449
12,50,VT,Vermont,850,1380,100882
12,51,VA,Virginia,8567,15835,734499
12,53,WA,Washington,2588,4598,163190
12,54,WV,West Virginia,1232,2167,70207
12,55,WI,Wisconsin,3048,5349,412421
12,56,WY,Wyoming,426,752,18801
13,1,AL,Alabama,6655,13258,254092
13,2,AK,Alaska,368,823,14978
13,4,AZ,Arizona,1061,2139,53645
13,5,AR,Arkansas,580,1161,26895
13,6,CA,California,4998,9491,308613
13,8,CO,Colorado,1260,2553,71556
13,9,CT,Connecticut,915,1724,67797
13,10,DE,Delaware,279,515,11689
13,11,DC,District Of Columbia,354,513,24896
13,12,FL,Florida,15624,29784,692115
13,13,GA,GA Non-migrants,3266790,7430492,0
13,15,HI,Hawaii,567,1250,23827
13,16,ID,Idaho,144,298,5628
13,17,IL,Illinois,2816,5534,165275
13,18,IN,Indiana,1312,2604,58650
13,19,IA,Iowa,385,732,17016
13,20,KS,Kansas,685,1508,36959
13,21,KY,Kentucky,1284,2645,54003
13,22,LA,Louisiana,1598,3248,62682
13,23,ME,Maine,207,399,9651
13,24,MD,Maryland,1955,3743,113808
13,25,MA,Massachusetts,1057,1869,64204
13,26,MI,Michigan,2053,3873,94442
13,27,MN,Minnesota,646,1225,53718
13,28,MS,Mississippi,1459,2980,56907
13,29,MO,Missouri,1133,2223,55325
13,30,MT,Montana,117,208,4350
13,31,NE,Nebraska,264,527,11914
13,32,NV,Nevada,568,1104,22093
13,33,NH,New Hampshire,201,399,11593
13,34,NJ,New Jersey,2267,4433,132886
13,35,NM,New Mexico,355,719,15351
13,36,NY,New York,5693,10822,288417
13,37,NC,North Carolina,5808,11207,272361
13,38,ND,North Dakota,153,317,8354
13,39,OH,Ohio,2599,4826,138791
13,40,OK,Oklahoma,659,1349,33418
13,41,OR,Oregon,305,557,14178
13,42,PA,Pennsylvania,2229,4233,112848
13,44,RI,Rhode Island,209,381,10144
13,45,SC,South Carolina,5428,10368,226573
13,46,SD,South Dakota,126,235,6008
13,47,TN,Tennessee,5151,10001,232190
13,48,TX,Texas,10872,22498,414940
13,49,UT,Utah,313,665,14908
13,50,VT,Vermont,102,172,5028
13,51,VA,Virginia,3583,6868,186031
13,53,WA,Washington,1116,2285,58062
13,54,WV,West Virginia,327,641,13912
13,55,WI,Wisconsin,771,1477,42465
13,56,WY,Wyoming,138,283,41820
15,1,AL,Alabama,175,345,7418
15,2,AK,Alaska,303,628,13113
15,4,AZ,Arizona,588,1049,28465
15,5,AR,Arkansas,96,192,3035
15,6,CA,California,4508,7779,301849
15,8,CO,Colorado,618,1216,33076
15,9,CT,Connecticut,225,360,10761
15,10,DE,Delaware,38,71,1496
15,11,DC,District Of Columbia,59,94,4711
15,12,FL,Florida,1119,1921,50010
15,13,GA,Georgia,686,1466,29395
15,15,HI,HI Non-migrants,542461,1107755,0
15,16,ID,Idaho,172,319,9150
15,17,IL,Illinois,442,691,22920
15,18,IN,Indiana,170,319,23301
15,19,IA,Iowa,85,162,4670
15,20,KS,Kansas,181,429,7152
15,21,KY,Kentucky,229,547,7891
15,22,LA,Louisiana,147,272,6469
15,23,ME,Maine,76,136,4681
15,24,MD,Maryland,376,709,23466
15,25,MA,Massachusetts,260,401,15934
15,26,MI,Michigan,276,495,13273
15,27,MN,Minnesota,182,279,10897
15,28,MS,Mississippi,96,170,3485
15,29,MO,Missouri,292,611,12991
15,30,MT,Montana,87,170,6128
15,31,NE,Nebraska,74,127,2946
15,32,NV,Nevada,649,1150,28727
15,33,NH,New Hampshire,65,100,3008
15,34,NJ,New Jersey,266,432,14791
15,35,NM,New Mexico,144,261,7794
15,36,NY,New York,741,1247,31416
15,37,NC,North Carolina,601,1250,22495
15,38,ND,North Dakota,41,77,1703
15,39,OH,Ohio,292,506,10364
15,40,OK,Oklahoma,201,432,24304
15,41,OR,Oregon,549,922,23668
15,42,PA,Pennsylvania,336,589,18168
15,44,RI,Rhode Island,52,95,5072
15,45,SC,South Carolina,309,588,12902
15,46,SD,South Dakota,30,66,1426
15,47,TN,Tennessee,278,580,12809
15,48,TX,Texas,1533,3170,72764
15,49,UT,Utah,297,663,12908
15,50,VT,Vermont,19,32,797
15,51,VA,Virginia,720,1542,41508
15,53,WA,Washington,1350,2716,69385
15,54,WV,West Virginia,44,81,1406
15,55,WI,Wisconsin,167,278,7425
15,56,WY,Wyoming,44,85,2638
16,1,AL,Alabama,49,95,2383
16,2,AK,Alaska,335,647,21140
16,4,AZ,Arizona,801,1604,37278
16,5,AR,Arkansas,61,133,5094
16,6,CA,California,3253,6743,213209
16,8,CO,Colorado,631,1207,32062
16,9,CT,Connecticut,40,60,2365
16,10,DE,Delaware,-1,-1,0
16,11,DC,District Of Columbia,21,33,17226
16,12,FL,Florida,367,687,15603
16,13,GA,Georgia,148,331,8131
16,15,HI,Hawaii,162,311,5773
16,16,ID,ID Non-migrants,546985,1283315,0
16,17,IL,Illinois,191,363,10431
16,18,IN,Indiana,97,186,5219
16,19,IA,Iowa,99,178,3683
16,20,KS,Kansas,97,205,5914
16,21,KY,Kentucky,60,131,3148
16,22,LA,Louisiana,65,125,2854
16,23,ME,Maine,21,28,421
16,24,MD,Maryland,82,165,5351
16,25,MA,Massachusetts,65,111,3895
16,26,MI,Michigan,132,222,4240
16,27,MN,Minnesota,151,279,7230
16,28,MS,Mississippi,42,74,1336
16,29,MO,Missouri,157,288,6994
16,30,MT,Montana,653,1262,27629
16,31,NE,Nebraska,80,170,4164
16,32,NV,Nevada,808,1659,36404
16,33,NH,New Hampshire,38,58,1762
16,34,NJ,New Jersey,66,118,4948
16,35,NM,New Mexico,186,397,8878
16,36,NY,New York,186,316,11323
16,37,NC,North Carolina,201,416,8216
16,38,ND,North Dakota,290,565,16258
16,39,OH,Ohio,134,235,6752
16,40,OK,Oklahoma,101,202,3875
16,41,OR,Oregon,1472,2894,68881
16,42,PA,Pennsylvania,145,257,7678
16,44,RI,Rhode Island,-1,-1,0
